year,month,date_of_month,day_of_week,Date,births
2000,7,23,7,7/23/2000,8166
2000,7,24,1,7/24/2000,12128
2000,7,25,2,7/25/2000,13176
2000,7,26,3,7/26/2000,12931
2000,7,27,4,7/27/2000,13155
2000,7,28,5,7/28/2000,12890
2000,7,29,6,7/29/2000,9465
2000,7,30,7,7/30/2000,8444
2000,7,31,1,7/31/2000,11860
2000,8,1,2,8/1/2000,13356
2000,8,2,3,8/2/2000,12835
2000,8,3,4,8/3/2000,13092
2000,8,4,5,8/4/2000,12940
2000,8,5,6,8/5/2000,9398
2000,8,6,7,8/6/2000,8350
2000,8,7,1,8/7/2000,11864
2000,8,8,2,8/8/2000,13693
2000,8,9,3,8/9/2000,13170
2000,8,10,4,8/10/2000,12953
2000,8,11,5,8/11/2000,12729
2000,8,12,6,8/12/2000,9305
2000,8,13,7,8/13/2000,8313
2000,8,14,1,8/14/2000,11927
2000,8,15,2,8/15/2000,13374
2000,8,16,3,8/16/2000,13174
2000,8,17,4,8/17/2000,13099
2000,8,18,5,8/18/2000,13124
2000,8,19,6,8/19/2000,9276
2000,8,20,7,8/20/2000,8346
2000,8,21,1,8/21/2000,12003
2000,8,22,2,8/22/2000,13406
2000,8,23,3,8/23/2000,12929
2000,8,24,4,8/24/2000,13021
2000,8,25,5,8/25/2000,12926
2000,8,26,6,8/26/2000,9341
2000,8,27,7,8/27/2000,8240
2000,8,28,1,8/28/2000,12074
2000,8,29,2,8/29/2000,13237
2000,8,30,3,8/30/2000,13111
2000,8,31,4,8/31/2000,13287
2000,9,1,5,9/1/2000,13145
2000,9,2,6,9/2/2000,9265
2000,9,3,7,9/3/2000,8248
2000,9,4,1,9/4/2000,8603
2000,9,5,2,9/5/2000,12200
2000,9,6,3,9/6/2000,13917
2000,9,7,4,9/7/2000,13512
2000,9,8,5,9/8/2000,13487
2000,9,9,6,9/9/2000,9860
2000,9,10,7,9/10/2000,8552
2000,9,11,1,9/11/2000,12405
2000,9,12,2,9/12/2000,13649
2000,9,13,3,9/13/2000,13299
2000,9,14,4,9/14/2000,13739
2000,9,15,5,9/15/2000,13552
2000,9,16,6,9/16/2000,9780
2000,9,17,7,9/17/2000,8683
2000,9,18,1,9/18/2000,12554
2000,9,19,2,9/19/2000,13850
2000,9,20,3,9/20/2000,13775
2000,9,21,4,9/21/2000,13350
2000,9,22,5,9/22/2000,13189
2000,9,23,6,9/23/2000,9494
2000,9,24,7,9/24/2000,8539
2000,9,25,1,9/25/2000,12432
2000,9,26,2,9/26/2000,13540
2000,9,27,3,9/27/2000,13467
2000,9,28,4,9/28/2000,13515
2000,9,29,5,9/29/2000,13045
2000,9,30,6,9/30/2000,9335
2000,10,1,7,10/1/2000,8453
2000,10,2,1,10/2/2000,12223
2000,10,3,2,10/3/2000,13245
2000,10,4,3,10/4/2000,13154
2000,10,5,4,10/5/2000,13288
2000,10,6,5,10/6/2000,12774
2000,10,7,6,10/7/2000,9131
2000,10,8,7,10/8/2000,8119
2000,10,9,1,10/9/2000,11343
2000,10,10,2,10/10/2000,13124
2000,10,11,3,10/11/2000,12907
2000,10,12,4,10/12/2000,13038
2000,10,13,5,10/13/2000,11723
2000,10,14,6,10/14/2000,9163
2000,10,15,7,10/15/2000,8156
2000,10,16,1,10/16/2000,12001
2000,10,17,2,10/17/2000,13106
2000,10,18,3,10/18/2000,12816
2000,10,19,4,10/19/2000,12502
2000,10,20,5,10/20/2000,12471
2000,10,21,6,10/21/2000,8956
2000,10,22,7,10/22/2000,7938
2000,10,23,1,10/23/2000,11810
2000,10,24,2,10/24/2000,12995
2000,10,25,3,10/25/2000,12780
2000,10,26,4,10/26/2000,12787
2000,10,27,5,10/27/2000,12333
2000,10,28,6,10/28/2000,8978
2000,10,29,7,10/29/2000,8124
2000,10,30,1,10/30/2000,11558
2000,10,31,2,10/31/2000,11372
2000,11,1,3,11/1/2000,12927
2000,11,2,4,11/2/2000,13066
2000,11,3,5,11/3/2000,12630
2000,11,4,6,11/4/2000,9084
2000,11,5,7,11/5/2000,8078
2000,11,6,1,11/6/2000,11862
2000,11,7,2,11/7/2000,12822
2000,11,8,3,11/8/2000,12829
2000,11,9,4,11/9/2000,12778
2000,11,10,5,11/10/2000,12554
2000,11,11,6,11/11/2000,9318
2000,11,12,7,11/12/2000,8070
2000,11,13,1,11/13/2000,11480
2000,11,14,2,11/14/2000,13153
2000,11,15,3,11/15/2000,12953
2000,11,16,4,11/16/2000,13061
2000,11,17,5,11/17/2000,12888
2000,11,18,6,11/18/2000,9137
2000,11,19,7,11/19/2000,8077
2000,11,20,1,11/20/2000,12974
2000,11,21,2,11/21/2000,13991
2000,11,22,3,11/22/2000,12420
2000,11,23,4,11/23/2000,8144
2000,11,24,5,11/24/2000,9805
2000,11,25,6,11/25/2000,8537
2000,11,26,7,11/26/2000,7950
2000,11,27,1,11/27/2000,12175
2000,11,28,2,11/28/2000,13799
2000,11,29,3,11/29/2000,13114
2000,11,30,4,11/30/2000,12818
2000,12,1,5,12/1/2000,12545
2000,12,2,6,12/2/2000,8914
2000,12,3,7,12/3/2000,7930
2000,12,4,1,12/4/2000,11501
2000,12,5,2,12/5/2000,12997
2000,12,6,3,12/6/2000,12697
2000,12,7,4,12/7/2000,12820
2000,12,8,5,12/8/2000,12548
2000,12,9,6,12/9/2000,8853
2000,12,10,7,12/10/2000,8022
2000,12,11,1,12/11/2000,11811
2000,12,12,2,12/12/2000,13627
2000,12,13,3,12/13/2000,12567
2000,12,14,4,12/14/2000,12640
2000,12,15,5,12/15/2000,12656
2000,12,16,6,12/16/2000,9184
2000,12,17,7,12/17/2000,8026
2000,12,18,1,12/18/2000,12590
2000,12,19,2,12/19/2000,13829
2000,12,20,3,12/20/2000,13762
2000,12,21,4,12/21/2000,13524
2000,12,22,5,12/22/2000,12248
2000,12,23,6,12/23/2000,8484
2000,12,24,7,12/24/2000,6971
2000,12,25,1,12/25/2000,6719
2000,12,26,2,12/26/2000,10395
2000,12,27,3,12/27/2000,13252
2000,12,28,4,12/28/2000,13900
2000,12,29,5,12/29/2000,13607
2000,12,30,6,12/30/2000,9405
2000,12,31,7,12/31/2000,7892
2001,1,1,1,1/1/2001,7663
2001,1,2,2,1/2/2001,10635
2001,1,3,3,1/3/2001,12449
2001,1,4,4,1/4/2001,12678
2001,1,5,5,1/5/2001,12647
2001,1,6,6,1/6/2001,9180
2001,1,7,7,1/7/2001,7883
2001,1,8,1,1/8/2001,11447
2001,1,9,2,1/9/2001,12386
2001,1,10,3,1/10/2001,12455
2001,1,11,4,1/11/2001,12433
2001,1,12,5,1/12/2001,12735
2001,1,13,6,1/13/2001,8836
2001,1,14,7,1/14/2001,7818
2001,1,15,1,1/15/2001,10926
2001,1,16,2,1/16/2001,12327
2001,1,17,3,1/17/2001,12344
2001,1,18,4,1/18/2001,12648
2001,1,19,5,1/19/2001,12339
2001,1,20,6,1/20/2001,8771
2001,1,21,7,1/21/2001,7850
2001,1,22,1,1/22/2001,11444
2001,1,23,2,1/23/2001,12446
2001,1,24,3,1/24/2001,12244
2001,1,25,4,1/25/2001,12570
2001,1,26,5,1/26/2001,12191
2001,1,27,6,1/27/2001,8795
2001,1,28,7,1/28/2001,7761
2001,1,29,1,1/29/2001,11513
2001,1,30,2,1/30/2001,12488
2001,1,31,3,1/31/2001,12477
2001,2,1,4,2/1/2001,12477
2001,2,2,5,2/2/2001,12470
2001,2,3,6,2/3/2001,8650
2001,2,4,7,2/4/2001,7716
2001,2,5,1,2/5/2001,11825
2001,2,6,2,2/6/2001,12536
2001,2,7,3,2/7/2001,12343
2001,2,8,4,2/8/2001,12390
2001,2,9,5,2/9/2001,12343
2001,2,10,6,2/10/2001,8791
2001,2,11,7,2/11/2001,7563
2001,2,12,1,2/12/2001,11670
2001,2,13,2,2/13/2001,12267
2001,2,14,3,2/14/2001,13191
2001,2,15,4,2/15/2001,12632
2001,2,16,5,2/16/2001,12355
2001,2,17,6,2/17/2001,8609
2001,2,18,7,2/18/2001,7555
2001,2,19,1,2/19/2001,10522
2001,2,20,2,2/20/2001,12373
2001,2,21,3,2/21/2001,12492
2001,2,22,4,2/22/2001,12482
2001,2,23,5,2/23/2001,12242
2001,2,24,6,2/24/2001,8656
2001,2,25,7,2/25/2001,7794
2001,2,26,1,2/26/2001,11332
2001,2,27,2,2/27/2001,12334
2001,2,28,3,2/28/2001,12209
2001,3,1,4,3/1/2001,12530
2001,3,2,5,3/2/2001,12383
2001,3,3,6,3/3/2001,8935
2001,3,4,7,3/4/2001,7799
2001,3,5,1,3/5/2001,11411
2001,3,6,2,3/6/2001,12339
2001,3,7,3,3/7/2001,12351
2001,3,8,4,3/8/2001,12440
2001,3,9,5,3/9/2001,12461
2001,3,10,6,3/10/2001,8807
2001,3,11,7,3/11/2001,7697
2001,3,12,1,3/12/2001,11595
2001,3,13,2,3/13/2001,12534
2001,3,14,3,3/14/2001,12578
2001,3,15,4,3/15/2001,12525
2001,3,16,5,3/16/2001,12460
2001,3,17,6,3/17/2001,9006
2001,3,18,7,3/18/2001,7526
2001,3,19,1,3/19/2001,11352
2001,3,20,2,3/20/2001,12868
2001,3,21,3,3/21/2001,12690
2001,3,22,4,3/22/2001,12472
2001,3,23,5,3/23/2001,12432
2001,3,24,6,3/24/2001,8830
2001,3,25,7,3/25/2001,7800
2001,3,26,1,3/26/2001,11290
2001,3,27,2,3/27/2001,12570
2001,3,28,3,3/28/2001,12469
2001,3,29,4,3/29/2001,12366
2001,3,30,5,3/30/2001,12059
2001,3,31,6,3/31/2001,8770
2001,4,1,7,4/1/2001,7212
2001,4,2,1,4/2/2001,11673
